Hostname,Operating System,Model,Serial Number,CPUs,CPU Cores,Total Threads,CPU Model,RAM (GB),Disk Size
antcarilab081,Ubuntu 16.04.2 LTS,none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.7 GB,none for now
antcarilab082,Microsoft Windows [Version 10.0.15063],"VMware, Inc. VMware Virtual Platform",VMware-56 4d 40 91 94 c9 cd 9e-46 c4 f5 34 8d 60 ea f8,2,1,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3,119
antcarilab083,Red Hat Enterprise Linux Server release 5.11 (Tikanga),none for now,none for now,2,,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.9 GB,none for now
antcarilab084,Microsoft Windows [Version 6.2.9200],"VMware, Inc. VMware Virtual Platform",VMware-56 4d 49 17 a1 46 42 5b-b0 d0 00 45 b5 e9 fe 8d,2,1,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3,119
antcarilab085,Red Hat Enterprise Linux Server release 6.5 (Santiago),none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.7 GB,none for now
antcarit02,Ubuntu 16.04.4 LTS,none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.9 GB,none for now
anchpcskx1001,SUSE Linux Enterprise Server 12 SP3,none for now,none for now,72,18,72,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,187.6 GB,none for now
anfgavmlin05,Red Hat Enterprise Linux Server release 6.9 (Santiago),none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.7 GB,none for now
ansatlin06,Ubuntu 16.04.5 LTS,none for now,none for now,48,12,48,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,125.8 GB,none for now
ansatlin07,Fedora release 25 (Twenty Five),none for now,none for now,8,4,8,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,61.0 GB,none for now
ansatlin04,Ubuntu 18.04.1 LTS,none for now,none for now,32,16,32,Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz,62.8 GB,none for now
ansatlin08,Fedora release 27 (Twenty Seven),none for now,none for now,8,4,8,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,61.0 GB,none for now
ansatlin09,Fedora release 27 (Twenty Seven),none for now,none for now,8,4,8,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,61.0 GB,none for now
antsatel04,Ubuntu 18.10,none for now,none for now,88,22,88,Intel(R) Xeon(R) CPU E5-2699 v4 @ 2.20GHz,125.8 GB,none for now
